placa;km;km_troca_oleo;renavam;chassi;ano_fabricacao;ano_modelo;IdCliente;modelo;montadora
EDM9B56;;;;9BD195162B0089921;2010;;45264;UNO;fiat
CIX3474;;;;9BWZZZ30ZHT082492;1987;;45263;GOL;volkswagen
SHU1C17;;;;*****20497;2023;;45262;TORO;fiat
JQW9F02;;;;9BWEB05W98P071106;2007;;45261;SAVEIRO;volkswagen
FJC0J90;;;;9BD265122F9027454;2014;;45260;FIORINO;fiat
FGW7610;;;;9BFZH55L0F8237653;2015;;45259;KA;ford
DVO8537;;;;9BFZF26P788121665;2007;;45258;FIESTA;ford
DKA3E72;;;;9BD17164G95347148;2008;;45257;PALIO;fiat
FVQ2I85;;;;93HFC2620LZ104158;2019;;45256;CIVIC;honda
GDO9I28;;;;9BWAG45U1JT070664;2017;;45255;GOL;volkswagen
NHD4305;;;;9BWCA05W87T109490;2007;;45254;GOL;volkswagen
CXF0309;;;;9BWZZZ30ZJT128358;1988;;45253;GOL;volkswagen
ETG6225;;;;9BWAA05W0BP056356;2010;;45252;GOL;volkswagen
DBZ6368;;;;9BWCA15X1YT240129;2000;;45251;GOL;volkswagen
DQS7583;;;;93YBB8B157J817167;2006;;45250;CLIO;renault
TKU6J86;;;;;;;45249;HB20;hyundai
QOJ7C58;;;;94DFFUK13KB100803;2018;;45247;MARCH;nissan
ENF7706;;;;8AWPB05Z4AA023544;2009;;45246;SPACEFOX;volkswagen
FKT1445;;;;9BD15802AD6835536;2013;;45245;UNO;fiat
DIL9772;;;;;;;45243;ASTRA;chevrolet
DTT7185;;;;9BR53ZEC278662769;2006;;45242;COROLLA;toyota
FDK3F04;;;;3FAKP4BK5CM188239;2012;;45241;FIESTA;ford
HNX7B38;;;;9BFZF54P8C8201604;2011;;45240;FIESTA;ford
EGH5H43;;;;9BFZF55A198443055;2009;;45239;FIESTA;ford
FDK1H14;;;;9BFZK53A9CB385480;2012;;45238;KA;ford
FNR3B48;;;;9BFZB55P8E8914077;2013;;45236;ECOSPORT;ford
GHN1448;;;;9BFZH55L6J8103934;2018;;45235;KA;ford
DJC4F31;;;;9BVA4CMA44E703682;2004;;45234;FH12;volvo
RBW9G97;;;;*****45957;2022;;45233;TRITON;mitsubishi
FDT7304;;;;9BWAA05WXEP062959;2013;;45231;GOL;volkswagen
DWS6222;;;;9BD13531672058564;2007;;45230;IDEA;fiat
BJC6132;;;;9BD14600003117530;1986;;45229;UNO;fiat
ERP4160;;;;9BWAA05U9BT092665;2010;;45228;GOL;volkswagen
EDV4G68;;;;9BGSA19908B314473;2008;;45226;CLASSIC;chevrolet
GAT7I37;;;;9BGKD48U0LB162530;2019;;45225;ONIX;chevrolet
FAF2324;;;;9BGKL48U0JB276355;2018;;45224;ONIX;chevrolet
JHG3G57;;;;3N1AB61D18L602703;2007;;45223;SENTRA;nissan
DHZ1563;;;;9BGRD08X03G136977;2002;;45221;CELTA;chevrolet
DDZ0987;;;;9BWCA05XX1P058390;2001;;45220;GOL;volkswagen
DUD1068;;;;9BWKA05Z974080775;2006;;45219;FOX;volkswagen
BJM8C49;;;;9BWCA05Y25T027222;2004;;45218;GOL;volkswagen
CID1G47;;;;93HGK5880JZ128878;2018;;45217;FIT;honda
CWP4D28;;;;9BGSC68Z0XC707771;1999;;45216;CORSA;chevrolet
SVY3H08;;;;*****20010;2025;;45213;POLO;volkswagen
FTK9D10;;;;KNAMH817BF6577691;2014;;45212;CARNIVAL;kia
FLF2I50;;;;8AFUZZFHCDJ106340;2013;;45211;FOCUS;ford
FPC1G14;;;;9BWDJ5161GP001714;2016;;45210;JETTA;volkswagen
TEJ6C39;;;;;;;45208;ONIX;chevrolet
DKS2F57;;;;9BGXF75004C201418;2004;;45207;MERIVA;chevrolet
DAW7E76;;;;9BFBDZFHAYB327289;2000;;45204;FIESTA;ford
GJK1199;;;;WDBWK4FW9AF223139;2009;;45203;SLK;mercedes-benz
NXY3B18;;;;9BD195102C0326357;2012;;45202;UNO;fiat
HMO0454;;;;9BWDA05U0AT134829;2009;;45201;VOYAGE;volkswagen
FAD3A01;;;;95PJN81BPCB030284;2011;;45200;TUCSON;hyundai
EPD4H35;;;;9BFZF55P6B8100252;2010;;45199;FIESTA;ford
ETM9J13;;;;9BFZF55A8D8393201;2012;;45198;FIESTA;ford
EGR0572;;;;93YBSR0RH9J144165;2008;;45197;SANDERO;renault
EAU1J50;;;;9BGAD69W08B186463;2007;;45196;VECTRA;chevrolet
BYP3H43;;;;*****20604;2023;;45195;S10;gmc
DFL7H49;;;;9BGTR48W07B109963;2006;;45194;ASTRA;chevrolet
DDZ7118;;;;9BGSC19Z02B125159;2001;;45193;CORSA;chevrolet
BSQ5474;;;;BT256971;1979;;45191;PASSAT;volkswagen
CHF8126;;;;9BFZZZFHAVB114784;1997;;45190;FIESTA;ford
DUU8217;;;;9BD17104G82923282;2007;;45187;PALIO;fiat
DUU8217;;;;9BD17104G82923282;2007;;45187;PALIO;fiat
FBR0G75;;;;LJ12EKP12F4601928;2014;;45186;J2;jac
TDD1G69;;;;*****21416;2025;;45183;S10;gmc
GCQ0308;;;;9BWAB45Z7K4011950;2018;;45182;FOX;volkswagen
CEU3746;;;;9BGSJ19NTTC746118;1996;;45181;CORSA;chevrolet
GHO9679;;;;;;;45180;FOX;volkswagen
CNY4H33;;;;;;;45179;GOL;volkswagen
DDZ9204;;;;;;;45177;GOL;volkswagen
ETG8394;;;;9BWAA05U9BP158995;2011;;45175;GOL;volkswagen
DQW9245;;;;9BWEB05W46P045879;2006;;45174;SAVEIRO;volkswagen
EGJ3242;;;;9BGXD75N0AC199836;2010;;45173;MERIVA;chevrolet
QPN3H41;;;;9BGKS69V0KG219095;2018;;45172;PRISMA;chevrolet
EYQ3A84;;;;8AGCN48X0BR234634;2011;;45171;AGILE;chevrolet
SVW2J18;;;;*****12391;2025;;45169;SAVEIRO;volkswagen
EPH5766;;;;9BGRZ08F0AG300476;2010;;45168;CELTA;chevrolet
NXW2D60;;;;9BWAB09N7BP007900;2010;;45167;POLO;volkswagen
COD3G37;;;;9BWZZZ308VP025020;1997;;45166;SAVEIRO;volkswagen
CWC2266;;;;93XJNK340YCX03157;1999;;45165;L200;mitsubishi
OQO5330;;;;8AJFY22G7D8009311;2013;;45164;HILUX;toyota
EAX5470;;;;9BGXM19808B268345;2008;;45162;CORSA;chevrolet
CIM1240;;;;9BD178226V0248621;1997;;45161;PALIO;fiat
DWS6222;;;;9BD13531672058564;2007;;45159;IDEA;fiat
DDZ2043;;;;9BD17140212064466;2001;;45158;PALIO;fiat
DBE6E18;;;;9BD15828814166879;2000;;45156;UNO;fiat
DUK6J93;;;;9BWCA05W98P000062;2007;;45155;GOL;volkswagen
EYH4D74;;;;8AJYZ59G5B3054903;2011;;45154;HILUXSW4;toyota
EYH4D74;;;;8AJYZ59G5B3054903;2011;;45154;HILUXSW4;toyota
EEX3193;;;;935CHN6A49B517197;2008;;45151;PICASSO;citroën
ETG9D25;;;;9BWAA05Z4B4082616;2010;;45150;FOX;volkswagen
CYL5881;;;;9BGSA19E05B122400;2004;;45148;CLASSIC;chevrolet
EUD6H86;;;;9BD195162B0083366;2010;;45145;UNO;fiat
FTR0541;;;;9BD17144LF5934627;2014;;45144;PALIO;fiat
GAZ0G88;;;;9BFZH55L6G8305052;2015;;45144;KA;ford
GAD9H66;;;;8AGBB68S0HR133270;2016;;45144;CRUZE;chevrolet
BJP0G97;;;;3VVHJ65N3JM132015;2018;;45144;TIGUAN;volkswagen
FBG2J51;;;;*****06590;2023;;45144;FASTBACK;fiat
FHO9G02;;;;*****16790;2024;;45144;KICKS;nissan
BSX0B51;;;;*****95971;2025;;45144;COMPASS;jeep
CPG0G42;;;;*****00781;2025;;45144;NIVUS;volkswagen
UFF3J15;;;;;;;45144;JAECOO;JAECOO
DNW3987;;;;9BGXL19606C219364;2006;;45143;CORSA;chevrolet
EGD1112;;;;8AWPB05Z09A300668;2008;;45142;SPACEFOX;volkswagen
EEF5D79;;;;9BD17308TA4278576;2009;;45140;PALIO;fiat
DNW4584;;;;9BWCA05W46T158247;2006;;45139;GOL;volkswagen
BJK8400;;;;9BGSC08WTSC661737;1995;;45137;CORSA;chevrolet
ETG7399;;;;9BFZK53A0BB277182;2010;;45135;KA;ford
EKP8940;;;;9BGRZ4810AG204970;2009;;45134;CELTA;chevrolet
PWV4J40;;;;9BRBDWHE6G0291316;2015;;45133;COROLLA;toyota
GEG4F37;;;;*****64136;2022;;45133;YARIS;toyota
GAU2I63;;;;*****07843;2024;;45133;CCROSS;suzuki
GIS5F52;;;;;;;45133;RAV4;toyota
EWR5031;;;;9BGRP48F0CG254331;2011;;45132;CELTA;chevrolet
KDS8239;;;;9BWZZZ373YT087540;1999;;45131;GOL;volkswagen
EAX5834;;;;9BGXH68808B289452;2008;;45130;CORSA;chevrolet
TEZ2F04;;;;;2024;;45129;ONIX;chevrolet
GAY2C17;;;;*****18855;2023;;45127;CROSS HL SI;suzuki
EVX3066;;;;9BWAB05U4CT028998;2011;;45126;GOL;volkswagen
DNB5F82;;;;9BWDC05X45T176494;2005;;45124;PARATI;volkswagen
AGV7523;;;;8AFZZZ54BTJ015225;1996;;45123;VERONA;ford
DNW6C04;;;;9BGXH75G06C199771;2006;;45121;MERIVA;chevrolet
SYD4E82;;;;*****13260;2024;;45120;SAVEIRO;volkswagen
CAH5337;;;;9BFZZZ54ZLB069428;1990;;45118;ESCORT;ford
