CodigoDoProduto;CodigoDoProdutoI;Referencia;Codigo_barra;id;NomeProduto;Marca;Unidade;Localizacao;Preco1;PrecoCusto;CodigoDoFornecedor;EstoqueMinimo;EstoqueMaximo;Estoque;Complemento;NCM;CodigoDoGrupo
"0280157117	";;16303309479;;;BICO INJETOR NISSAN SENTRA;SOUZA CAR;UN;"	";280;0;;0;0;0;;;
"11901	";;16303077441;;;LUVA DE PELUCIA SIMPLES;SOUZA CAR;UN;"	";25;0;;0;0;0;;87083090;
"10008JV	";;16302897993;;;JUNTA DA TAMPA DE VALVULAS ESCORT/DELREY/CORCEL 79/...;SOUZA CAR;UN;"	G2 R2 P6 LA - 34";20;0;;0;0;4;;40169300;
"AL1113	";;16302616528;;;MOLA TRASEIRA MERIVA;SOUZA CAR;UN;"	";230;0;;0;0;0;;;
"ICH0638	";;16302616527;;;MOLA DIANTEIRO MERIVA;SOUZA CAR;UN;"	";240;0;;0;0;0;;;
"FT0492	";;16302574475;;;MOLA DIANTEIRO DOBLO 1.8 COM AR;SOUZA CAR;UN;"	";250;0;;0;0;0;;;
"C417	";;16302524156;;;REGULADOR DE FREIO AUTOMATICO TRA416SEIRO PALIO/MAREA/BRAVA 97/....16V;SOUZA CAR;UN;"	";195;0;;0;0;0;;;
"BCBI182	";;16302412761;;;BICO INJETOR TUCSON/SPORTAGE/IX35/ELANTRA;SOUZA CAR;UN;"	";200;0;;0;0;0;;;
"448635	";;16302040735;;;CAPA DO PEDAL DE FREIO EMBREAGEM ACELERADOR MONZA/KADETT/IPANEMA/CORSA;SOUZA CAR;UN;"	";15;0;;0;0;1;;;
"	";;16301632398;;;ADITIVO PRONTO PARA USO ROSA ;SOUZA CAR;UN;"	";25;0;;0;0;66;;;
"HK9010	";;16301128465;;;FUSIVEL DE VIDRO UNIVERSAL 10 AMP;SOUZA CAR;UN;"	";2;0;;0;0;0;;87088000;
"HK9003	";;16301126797;;;FUSIVEL DE VIDRO RADIO 3A;SOUZA CAR;UN;"	";2;0;;0;0;0;;87089990;
"HK1203	";;16301125762;;;FUSIVEL DE VIDRO RADIO 3A MINI;SOUZA CAR;UN;"	";1;0,41;;0;0;0;;85361000;
"HK12005	";;16301125495;;;FUSIVEL DE VIDRO RADIO 5A MINI;SOUZA CAR;UN;"	";2;0;;0;0;0;;85361000;
"1100033	";;16300889521;;;ATUADOR HIDRAULICO S10 2.4 FLEX 2012/...;SOUZA CAR;UN;"	R1 P4 LB - 06";800;0;;0;0;1;;;
"AL586	";;16300393416;;;TRIZETA AZERA /SONATA/SPORTAGE 35 DENTES ELO 46MM;SOUZA CAR;UN;"	R2 P1 LB - 32";300;0;;0;0;3;;;
"355222	";;16300360877;;;ROLAMENTO AR CONDICIONADO HB20;SOUZA CAR;UN;"	";130;0;;0;0;0;;;
"MRMK1634	";;16300114572;;;RESISTENCIA ECOSPORT 2003...;SOUZA CAR;UN;"	";90;0;;0;0;0;;;
"80005	";;16299760465;;;MOLDURA VELOCIMETRO GOL CL 88/94;SOUZA CAR;UN;"	";40;0;;0;0;0;;;
"VC171V	";;16299124450;;;FLANGE GOLF 2014....2016 TSI 1.4;SOUZA CAR;UN;"	R1 P3 LA - 51";150;0;;0;0;1;;;
"906E	";;16299005892;;;BRAÇO DO LIMPADOR P/BRISA ESQUERDO FOX/CROSSFOX/SPACEFOX;SOUZA CAR;UN;"	";180;0;;0;0;0;;;
"127610	";;16298550575;;;RETENTOR DIANTEIRO VIRABREQUIM SONATA 2.4;SOUZA CAR;UN;"	";170;0;;0;0;0;;;
"M48168P	";;16298550574;;;POLIA VIRABREQUIM SONATA 2.4 16V;SOUZA CAR;UN;"	R2 P1 LB - 93";500;0;;0;0;0;;;
"M8365	";;16298550572;;;JUNTA TAMPA VALVULA SONATA 2.4 16V;SOUZA CAR;UN;"	";150;0;;0;0;0;;;
"55211	";;16298432031;;;KIT CARBURADOR MONZA 1.8 ALC/CARB;SOUZA CAR;UN;"	G3 R1 P1 LA - 33";100;0;;0;0;3;;;
"55264	";;16298430318;;;KIT CARBURADOR COMPLETO LOGUS/APOLO/VERONA;SOUZA CAR;UN;"	G3 R1 P1 LA - 24";85;0;;0;0;0;;84099190;
"AKX1964	";;16298170729;;;FILTRO DE CABINE TOYOTA PRADO;SOUZA CAR;UN;"	";47;0;;0;0;0;;;
"SCH01	";;16297397035;;;CABO IGNIÇAO BERLINGO ;SOUZA CAR;UN;"	";230;0;;0;0;0;;;
"24381	";;16297397034;;;BOMBA OLEO BERLINGO;SOUZA CAR;UN;"	";700;0;;0;0;0;;;
"1515100PK	";;16297397033;;;JUNTA CABEÇOTE BERLINGO 1.8;SOUZA CAR;UN;"	";190;0;;0;0;0;;;
"NT22850523	";;16297161127;;;RADIADOR PUNTO 1.4 08/17;SOUZA CAR;UN;"	";630;0;;0;0;0;;;
"IK5939	";;16297083128;;;REGULADOR DE VOLTAGEM C3/C4/C5/AIRCROSS/XSARA PICASSO 2003/...;SOUZA CAR;UN;"	";140;0;;0;0;0;;90328911;
"05413	";;16296007838;;;BUCHA EIXO FIESTA / KA;SOUZA CAR;UN;"	";60;0;;0;0;0;;;
"BI012	";;16295014471;;;BICO INJETOR GM/ALFA ROMEU;SOUZA CAR;UN;"	";150;0;;0;0;0;;;
"	";;16294905190;;;RETENTOR COMANDO VALVULA AGILE/ASTRA/BLAZER/CELTA/CORSA/MONZA/KADETT/PALIO;SOUZA CAR;UN;"	";30;0;;0;0;0;;;
"125476	";;16294900559;;;BRUCUTU UNO 91...;SOUZA CAR;UN;"	";25;0;;0;0;0;;;
"4058	";;16294621834;;;CAPA PEDAL C3 FREIO/EMBREAGEM;SOUZA CAR;UN;"	";20;0;;0;0;0;;;
"BRD01026	";;16294297699;;;BARRA DE DIREÇAO GOL 91...;SOUZA CAR;UN;"	";180;0;;0;0;0;;;
"80378SABO	";;16294250085;;;JOGO DE JUNTA COMPLETO FIESTA 1.6 ZETEC;SOUZA CAR;UN;"	";500;0;;0;0;0;;;
"44655	";;16293342965;;;PORCA PONTA DE EIXO SANTANA;SOUZA CAR;UN;"	";10;0;;0;0;0;;;
"BAU100182	";;16293312564;;;MOTOR E VENTUINHA CORSA 4 PAS;SOUZA CAR;UN;"	";400;0;;0;0;0;;;
"CABGM08	";;16293273034;;;PARAFUSO DO CABECOTE ASTRA/VECTRA/ZAFIRA 94/...;SOUZA CAR;UN;"	R4 P5 LA - 11";200;0;;0;0;2;;;
"PI147	";;16292909571;;;PIVO DE SUSPENSAO INFERIOR ECOSPORT/KA/NEW FIESTA 2013/2019 SIMILAR PVI0213;SOUZA CAR;UN;"	R3 P3 LA - 53";50;0;;0;0;2;;87088000;
"LP204013/162	";;16292907107;;;DIAFRAGMA TAMPA GOL;SOUZA CAR;UN;"	";38;0;;0;0;0;;;
"D886	";;16292746641;;;KIT AMORTECEDOR TRASEIRO CRV (PARCIAL);SOUZA CAR;UN;"	";200;0;;0;0;0;;;
"	";;16292713623;;;TAPETE BORDADO LATERAL PV ;SOUZA CAR;UN;"	";110;0;;0;0;0;;;
"A222	";;16292490441;;;PORTA ESCOVA UNIVERSAL;SOUZA CAR;UN;"	G3 R3 P4 LA - 68";60;0;;0;0;1;;87089990;
"GA523	";;16291343239;;;REGULADOR DE VOLTAGEM KA;SOUZA CAR;UN;"	";140;0;;0;0;0;;;
"M03690	";;16290924729;;;ABRAÇADEIRA ESCAPAMENTO ;SOUZA CAR;UN;"	";18;0;;0;0;0;;;
"05206	";;16290747189;;;BUCHA DA BANDEJA DIANTEIRA INFERIOR/BANDEJA TRASEIRA CENTRAL CORCEL 1984 A 1986 DEL REY 1984 A 1994 PAMPA 1984 A 1997;SOUZA CAR;UN;"	G2 R2 P4 LA - 01";25;0;;0;0;2;;;
"FT4214TM	";;16289950598;;;ESCAPAMENTO INTERMEDIARIO UNO 91...;SOUZA CAR;UN;"	";230;0;;0;0;0;;;
"	";;16289950597;;;SILENCIOSO TRASEIRO UNO 91....;SOUZA CAR;UN;"	";120;0;;0;0;0;;;
"DS23220	";;16289403576;;;SENSOR NIVEL CLIO FLEX 12 A 16;SOUZA CAR;UN;"	";190;0;;0;0;0;;;
"DSC2012	";;16289357578;;;LANTERNA PLACA GOL GV;SOUZA CAR;UN;"	";30;0;;0;0;0;;;
"766657	";;16289357576;;;CABO DE ACIONAMENTO DA FECHADURA DIANTEIRA ESQUERDA GOL/PARATI/SAVEIRO;SOUZA CAR;UN;"	G2 R1 P1 LA - 110";25;0;;0;0;2;;;
"17156	";;16288973066;;;PROTETOR DE CARTER PUNTO 1.4;SOUZA CAR;UN;"	G2 R1 P3 LB - 01A";120;0;;0;0;1;;;
"C2178	";;16288973064;;;CILINDRO MESTRE PUNTO 1.4 SEM ABS;SOUZA CAR;UN;"	";400;0;;0;0;0;;;
"764	";;16288728740;;;EMBLEMA GRADE FORD OVAL;SOUZA CAR;UN;"	";30;0;;0;0;0;;;
"034512	";;16288718201;;;MANGUEIRA SUPERIOR 206 1.4;SOUZA CAR;UN;"	";40;0;;0;0;0;;;
"IWP0179	";;16288566149;;;BICO INJETOR LIVINIA;SOUZA CAR;UN;"	";140;0;;0;0;0;;;
"ILR4435	";;16288325168;;;INTERRUPTOR DA LUZ DE FREIO 3RHO FIAT PALIO/TEMPRA/TIPO/SIENA/STILO/TIPO/UNO/STRADA/PUNTO/FIORINO/MAREA/DOBLO;SOUZA CAR;UN;"	";80;0;;0;0;0;;;
"0280030158	";;16288128801;;;SONDA LAMBDA PALIO 1.4 ;SOUZA CAR;UN;"	";380;0;;0;0;0;;;
"TC1011	";;16287840754;;;CHICOTE 4 VIAS DA BOBINA MONZA/KADETT;SOUZA CAR;UN;"	";35;0;;0;0;2;;;
"TC1278	";;16287734538;;;CHICOTE BOMBA DE COMBUSTIVEL;SOUZA CAR;UN;"	";45;0;;0;0;1;;;
"112058	";;16287276188;;;MAÇANETA EXTERNA FIESTA /KA/COURIER L/E;SOUZA CAR;UN;"	";30;0;;0;0;2;;;
"ATD11003	";;16259297013;;;TERMINAL DE DIRECAO DIREITO C3 2002/...SIMILAR TDI0552;AUT STAR;UN;"	R3 P1 LA - 28";100;0;;0;0;3;;87089990;
"APV03006	";;16334793076;;;PIVO DE SUSPENSAO INFERIOR TEMPRA 92/...  2.0;AUTO STAR;UN;"	R3 P3 LA - 96";70;35,12;;0;0;0;;87089990;
"AJH02005	";;16334786440;;;JUNTA HOMOCINETICA VECTRA 97/... 2.0/2.2;AUTO STAR;UN;"	R1 P9 LB - 07";240;120,88;;0;0;6;;87089990;
"121293PK	";;16332809998;;;JOGO DE JUNTA SUPERIOR DO MOTOR CORSA 98/...1.0/16V SIMILAR-280595;BASTOS;UN;"	R3 P8 LA - 43";160;82,02;;0;0;2;;84842000;
"141229PK	";;16325698041;;;JOGO DE JUNTA SUPERIOR DO MOTOR PALIO/UNO/ 96/...SIMILAR 79509;BASTOS;UN;"	R3 P7 LA - 18";120;46,35;;0;0;1;;84842000;
"231842	";;16336482973;;;CONECTOR MANGUEIRA AR QUENTE RETA  COBALT 2012 A 2017 ONIX PRISMA 2013 A 2019 TRACKER 2014 EM DIANTE;BELAIR;UN;"	";45;21,93;;0;0;1;;39174090;
"231852	";;16336480171;;;CONECTOR MANGUEIRA AR QUENTE CURVA  COBALT 2012 A 2017 ONIX PRISMA 2013 A 2019 TRACKER 2014 EM DIANTE;BELAIR;UN;"	";40;23,25;;0;0;1;;39174090;
"BA8265	";;16235276669;;;ARTICULAÇAO AXIAL FOX/POLO/GOL/VOYAGE(DIREÇAO MECANICA)(BRD5120-680265);BORTEC;UN;"	R2 P4 LB - 11";35;27,17;;0;0;10;;87089490;
"F00099C082	";;16331393511;;;CABO DE IGNICAO CORDOBA/GOL/IBIZA/PARATI/POLO/QUANTUM/SANTANA/SAVEIRO 94/...;BOSCH;UN;"	";160;0;;0;0;2;;85443000;
"CARLUB	";;14549589659;;;CARLUB DESENGRIPANTE CAR80;CAR80;UN;"	";20;8,13;;0;0;148;;38249941;
"278288X	";;15926286602;;;GRAFITE SPRAY CAR 80;CAR80;UN;"	";20;11,2;;0;0;12;;25041000;
"02641A	";;16451155315;;;KIT AMORTECEDOR DIANTEIRO COMPLETO 1 LADO FIESTA 1.0 SUPERCHARGER 1.6 2002 A 2014 ECOSPORT 2003 A 2012 SI-07249;COPBOR;UN;"	";160;62,46;;0;0;4;;87088000;
"D6PK1050	";;16336490770;;;CORREIA ALTENADOR DA CONTINENTAL ZETEC ROCAM COURIER/FIESTA/KA/ESCORT GIR/ALT/BA 1.6/1.0  SIMILAR  6PK1049;DAYCO;UN;"	";60;28,65;;0;0;5;;40103100;
"D169STP8M200H	";;16332793810;;;CORREIA SINCRONIZADORA CORSA/TIGRA 95/...;DAYCO;UN;"	R4 P7 LA - 21";160;54,43;;0;0;2;;40103500;
"D5PK878EE	";;16326763208;;;CORREIA ELASTICA POLY-V CELTA/CORSA/PRISMA 2008/...;DAYCO;UN;"	R4 P7 LA - 29";120;55,17;;0;0;1;;40103100;
"D6PK1740	";;16326756978;;;CORREIA POLY-V A4/COURIER/FIESTA/GOL/PARATI/QUANTUM/ROYALE/SANTANA/SAVEIRO/VERSAILLES/VOYAGE/Z3  96/... SIMILAR-6PK1740;DAYCO;UN;"	G3 R3 P3 LA - 04";80;0;;0;0;3;;40103100;
"D6PK1755	";;16326749779;;;CORREIA DO ALTERNADOR DA CONTINENTAL FIESTA/COURIER/CLIO/LOGAN SIMILAR-6PK1750;DAYCO;UN;"	";110;57,65;;0;0;0;;40103100;
"XS10073	";;16326758897;;;CABO DE IGNICAO GOL/PARATI/SAVEIRO/ 97/...SIMILAR-STV18;DELPHI;UN;"	R4 P9 LA - 12";130;66,05;;0;0;1;;85443000;
"ALR4057R	";;16334713155;;;ROLAMENTO DE RODA TRASEIRO CLIO/LOGAN/SANDERO/MEGANE/FLUENCE/KWID/SYMBOL/TWINGO 99/....;EMBREPAR;UN;"	";140;0;;0;0;0;;84822090;
"2100618	";;16532566034;;;"CILINDRO MESTRE COM RESERVATORIO CHEVROLET	BLAZER	1996 até ...CHEVROLET	S10	1996 até ...SIMILAR-D101153";FTE;UN;"	R1 P5 LB - 02";350;0;;0;0;0;;;
"ALR0076	";;16336563496;;;ROLAMENTO DE RODA DIANTEIRO STILO/2002/...;IMA;UN;"	R3 P6 LB - 09";150;87,2;;0;0;2;;84821010;
"AL858	";;16235279190;;;CUBO DE RODA SAVEIRO GV 2008/...COM ABS(IMA);IMA;UN;"	R3 P1 LB - 04";310;0;;0;0;2;;87089990;
"76428	";;16523734557;;;ESGUICHO DO PARA-BRISA CORSA 94/...;JAHU;UN;"	";35;0;;0;0;5;;85129000;
"MM8188	";;16336586219;;;MANGUEIRA DO RESPIRO CORSA/ASTRA/VECTRA 99/...;JAMAICA;UN;"	";30;11,78;;0;0;1;;40093100;
"MMV10313	";;16169788838;;;MANGUEIRA DO RESERVATORIO PALIO/SIENA/STRADA 96/....;JAMAICA;UN;"	";60;0;;0;0;2;;40093100;
"345100	";;16161974619;;;AMORTECEDOR GAS TRASEIRO DOBLO 03/...;KAYABA;UN;"	";350;208,91;;0;0;2;;87088000;
"5100002100A1	";;16291533325;;;ATUADOR DE EMBREAGEM ASTRA/VECTRA 96/...2.0/2.2 SIMILAR-AH254749;LUK;UN;"	R1 P4 LB - 30";500;0;;0;0;0;;87089990;
"MM244A	";;16327456042;;;"BOMBA DE COMBUSTIVEL 	HB20/ 2012/... F000TE195A";MAGNETI MARELLI;UN;"	R3 P6 LA - 11";350;143,87;;0;0;5;;84133010;
"TH7691D	";;16333635017;;;VALVULA TERMOSTATICA  BERLINGO/C3/C4/HOGGAR/PARTNER/XSARA 2004/... SIMILAR VT487.91;METAL LEVE;UN;"	R2 P2 LB - 65/66";220;109,84;;0;0;3;;84818021;
"LX1597	";;16333613464;;;ELEMENTO DO FILTRO DE AR ECOSPORT/FIESTA/KA 2002/...;METAL LEVE;UN;"	";60;26,05;;0;0;1;;84219999;
"SCA6771STD	";;16401753754;;;ANEL DE PISTAO UNO/ELBA/FIORINO/PREMIO-STD- 1.0/1.5 91/...TODOS FIASA-DA6771STD;METAL LEVE;UN;"	G3 R2 P1 LB - 104";350;164,22;;0;0;1;;84099116;
"06167	";;16326889960;;;BIELETA ESTABILIZADORA DIANTEIRA DIREITA  PICANTO 2004 A 2011;METAL SISTEM;UN;"	";100;0;;0;0;1;;87088000;
"06168	";;16326886531;;;BIELETA ESTABILIZADORA DIANTEIRA ESQUERDA  PICANTO 2004 A 2011;METAL SISTEM;UN;"	R1 P5 LA - 42";100;0;;0;0;1;;87880000;
"30175PF	";;16326883713;;;TERMINAL DIRECAO DIREITO  TWINGO 1993 A 1997;METAL SISTEM;UN;"	R3 P1 LA - 33";140;0;;0;0;2;;87089990;
"30176PF	";;16326881699;;;TERMINAL DIRECAO ESQUERDO TWINGO 1993 A 1999;METAL SISTEM;UN;"	R3 P1 LA - 32";140;0;;0;0;2;;87089990;
"07448	";;16326871032;;;BATENTE SUSPENSAO TRASEIRA STRADA .../08 SIMILAR 00315A;METAL SISTEM;UN;"	G2 PRD P2 - 02";100;0;;0;0;0;;87089990;
