NumeroDoPedido;ID_Cliente;ID_Vendedor;CreatedAt;Status;ID_Produto_ou_Codigo;Quantidade;ValorUnitario;ValorFrete;DescontoItem;Observacao;ID_FormaPagamento
85;43860;477;21/08/2024;PROPOSAL;751466;1;0,00;;;1858;493
85;43860;477;21/08/2024;PROPOSAL;751569;1;0,00;;;1858;493
85;43860;477;21/08/2024;PROPOSAL;751627;1;0,00;;;1858;493
86;43697;477;04/09/2024;PROPOSAL;751017;1;0,00;;;1942;500
86;43697;477;04/09/2024;PROPOSAL;751288;2;0,00;;;1942;500
86;43697;477;04/09/2024;PROPOSAL;751626;1;0,00;;;1942;500
87;43593;477;06/09/2024;PROPOSAL;751560;1;0,00;;;1977;514
87;43593;477;06/09/2024;PROPOSAL;751811;4;0,00;;;1977;514
87;43593;477;06/09/2024;PROPOSAL;751922;1;0,00;;;1977;514
88;43837;477;27/09/2024;PROPOSAL;751540;1;0,00;;;2134;493
88;43837;477;27/09/2024;PROPOSAL;751686;1;0,00;;;2134;493
88;43837;477;27/09/2024;PROPOSAL;751783;4;0,00;;;2134;493
89;43585;477;01/10/2024;PROPOSAL;751420;1;0,00;;;2188;493
89;43585;477;01/10/2024;PROPOSAL;751562;1;0,00;;;2188;493
89;43585;477;01/10/2024;PROPOSAL;751924;1;0,00;;;2188;493
90;43607;477;15/10/2024;PROPOSAL;751009;1;0,00;;;2275;493
90;43607;477;15/10/2024;PROPOSAL;751180;1;0,00;;;2275;493
90;43607;477;15/10/2024;PROPOSAL;751415;1;0,00;;;2275;493
91;43663;477;15/10/2024;PROPOSAL;751154;1;0,00;;;2277;493
91;43663;477;15/10/2024;PROPOSAL;751577;1;0,00;;;2277;493
91;43663;477;15/10/2024;PROPOSAL;751738;4;0,00;;;2277;493
92;43832;477;15/10/2024;PROPOSAL;751928;1;0,00;;;2278;493
93;43830;477;19/10/2024;PROPOSAL;751509;1;0,00;;;2292;493
93;43830;477;19/10/2024;PROPOSAL;751738;4;0,00;;;2292;493
94;43827;477;23/10/2024;PROPOSAL;751317;1;0,00;;;2297;514
94;43827;477;23/10/2024;PROPOSAL;751382;1;0,00;;;2297;514
94;43827;477;23/10/2024;PROPOSAL;751511;1;0,00;;;2297;514
95;43692;477;23/10/2024;PROPOSAL;751118;1;0,00;;;2299;493
95;43692;477;23/10/2024;PROPOSAL;751658;2;0,00;;;2299;493
95;43692;477;23/10/2024;PROPOSAL;751983;1;0,00;;;2299;493
96;43607;477;22/10/2024;PROPOSAL;752045;1;0,00;;;2300;493
97;43820;477;12/11/2024;PROPOSAL;751078;1;0,00;;;2437;500
97;43820;477;12/11/2024;PROPOSAL;751214;1;0,00;;;2437;500
97;43820;477;12/11/2024;PROPOSAL;751590;1;0,00;;;2437;500
98;43596;477;14/11/2024;PROPOSAL;751796;1;0,00;;;2482;493
99;43821;477;14/11/2024;PROPOSAL;751210;1;0,00;;;2483;514
100;43695;477;15/11/2024;PROPOSAL;751512;1;0,00;;;2517;500
100;43695;477;15/11/2024;PROPOSAL;751738;4;0,00;;;2517;500
101;43607;477;19/11/2024;PROPOSAL;751477;1;0,00;;;2528;493
102;43809;477;17/12/2024;PROPOSAL;751699;1;0,00;;;2642;493
103;43805;477;27/12/2024;PROPOSAL;751087;1;0,00;;;2684;493
103;43805;477;27/12/2024;PROPOSAL;751215;1;0,00;;;2684;493
103;43805;477;27/12/2024;PROPOSAL;751582;1;0,00;;;2684;493
104;43798;477;27/12/2024;PROPOSAL;751525;1;0,00;;;2689;514
104;43798;477;27/12/2024;PROPOSAL;751774;4;0,00;;;2689;514
105;43805;477;28/12/2024;PROPOSAL;752045;1;0,00;;;2692;493
106;43633;477;07/02/2025;PROPOSAL;751371;1;0,00;;;2768;493
106;43633;477;07/02/2025;PROPOSAL;751884;1;0,00;;;2768;493
106;43633;477;07/02/2025;PROPOSAL;751943;1;0,00;;;2768;493
107;43592;477;07/02/2025;PROPOSAL;751924;1;0,00;;;2769;493
108;43589;477;15/02/2025;PROPOSAL;751448;1;0,00;;;2848;500
109;43698;477;27/02/2025;PROPOSAL;751085;1;0,00;;;2905;493
109;43698;477;27/02/2025;PROPOSAL;751189;1;0,00;;;2905;493
109;43698;477;27/02/2025;PROPOSAL;751219;1;0,00;;;2905;493
110;43592;477;21/02/2025;PROPOSAL;751579;1;0,00;;;2909;500
110;43592;477;21/02/2025;PROPOSAL;751605;1;0,00;;;2909;500
111;43761;477;01/03/2025;PROPOSAL;751317;1;0,00;;;2955;493
111;43761;477;01/03/2025;PROPOSAL;752039;1;0,00;;;2955;493
112;43684;477;05/03/2025;PROPOSAL;751297;2;0,00;;;2962;493
112;43684;477;05/03/2025;PROPOSAL;751299;2;0,00;;;2962;493
112;43684;477;05/03/2025;PROPOSAL;751352;2;0,00;;;2962;493
113;43666;477;19/03/2025;PROPOSAL;751199;1;0,00;;;3076;493
113;43666;477;19/03/2025;PROPOSAL;751547;1;0,00;;;3076;493
113;43666;477;19/03/2025;PROPOSAL;751882;1;0,00;;;3076;493
114;43697;477;19/03/2025;PROPOSAL;751054;2;0,00;;;3077;500
114;43697;477;19/03/2025;PROPOSAL;751400;1;0,00;;;3077;500
114;43697;477;19/03/2025;PROPOSAL;751443;1;0,00;;;3077;500
115;43789;477;25/03/2025;PROPOSAL;751195;1;0,00;;;3100;514
115;43789;477;25/03/2025;PROPOSAL;751223;1;0,00;;;3100;514
115;43789;477;25/03/2025;PROPOSAL;751380;1;0,00;;;3100;514
116;43751;477;28/03/2025;PROPOSAL;751050;2;0,00;;;3129;513
116;43751;477;28/03/2025;PROPOSAL;751729;2;0,00;;;3129;513
116;43751;477;28/03/2025;PROPOSAL;751848;1;0,00;;;3129;513
117;43659;477;31/03/2025;PROPOSAL;751152;1;0,00;;;3142;500
117;43659;477;31/03/2025;PROPOSAL;751822;4;0,00;;;3142;500
117;43659;477;31/03/2025;PROPOSAL;752031;1;0,00;;;3142;500
118;43714;477;11/04/2025;PROPOSAL;751076;1;0,00;;;3180;500
118;43714;477;11/04/2025;PROPOSAL;751158;1;0,00;;;3180;500
118;43714;477;11/04/2025;PROPOSAL;751555;1;0,00;;;3180;500
119;43590;477;07/04/2025;PROPOSAL;751095;1;0,00;;;3216;493
119;43590;477;07/04/2025;PROPOSAL;751865;1;0,00;;;3216;493
120;43618;477;11/04/2025;PROPOSAL;751208;1;0,00;;;3227;493
